"","Lon","Lat","Timestamp","bias","std","MSE","Cov","Z"
"1994",-80.342,36.026,2020-05-05 11:00:00,0.409039984681621,2.72773505895701,7.60785226093152,1,2
"3644",-78.8197,35.8652,2020-05-05 11:00:00,-2.24852912970793,2.85296409178851,13.1952873561797,1,2
"3511",-82.5844,35.6062,2020-05-05 11:00:00,-0.268261670682785,2.2336210415316,5.06102728113025,1,1
"1285",-80.851473,35.281791,2020-05-05 11:00:00,3.44298045547463,2.01831131982623,15.927695000519,1,1
"1995",-80.342,36.026,2020-05-05 11:00:00,-0.394057918752498,2.07382295834801,4.45602330590283,1,1
"3645",-78.8197,35.8652,2020-05-05 11:00:00,-2.03540249718595,2.16269857614641,8.82012845681653,1,1
"36",-82.5844,35.6062,2020-05-05 12:00:00,0.682966466409408,4.37632997723454,19.6187072638815,1,1000
"129",-80.851473,35.281791,2020-05-05 12:00:00,-2.9744725320568,4.21188940011107,26.5874991627284,1,1000
"200",-80.342,36.026,2020-05-05 12:00:00,0.0510642926960241,4.01737245210485,16.1418889809195,1,1000
"365",-78.8197,35.8652,2020-05-05 12:00:00,-4.11857492816204,4.08553581565209,33.6542623398609,1,1000
"366",-82.5844,35.6062,2020-05-05 12:00:00,-1.44128019716674,4.44806928738087,21.862608992086,1,5
"1291",-80.851473,35.281791,2020-05-05 12:00:00,-3.82253568423835,4.00251396144439,30.6318970688329,1,5
"2001",-80.342,36.026,2020-05-05 12:00:00,-0.107986015836667,3.68345453050517,13.5794982579153,1,5
"3651",-78.8197,35.8652,2020-05-05 12:00:00,-3.38598096067202,3.91858077174788,26.8201423307456,1,5
"367",-82.5844,35.6062,2020-05-05 12:00:00,-1.44970735722887,4.55836255429538,22.8803205980058,1,4
"1292",-80.851473,35.281791,2020-05-05 12:00:00,-3.92585151513284,4.17611374079228,32.852236094905,1,4
"2002",-80.342,36.026,2020-05-05 12:00:00,-0.0534898429894275,3.83003775702508,14.6720503835407,1,4
"3652",-78.8197,35.8652,2020-05-05 12:00:00,-3.30685630260373,4.14831217044668,28.1437924695461,1,4
"368",-82.5844,35.6062,2020-05-05 12:00:00,-1.34380267994052,4.35896026028049,20.8063401933198,1,3
"1293",-80.851473,35.281791,2020-05-05 12:00:00,-4.00825966656071,4.1376465625297,33.1862646309912,1,3
"2003",-80.342,36.026,2020-05-05 12:00:00,-0.0330596029820351,3.736483285042,13.9624002767476,1,3
"3653",-78.8197,35.8652,2020-05-05 12:00:00,-3.50136735868301,3.99177729904528,28.193859385624,1,3
"369",-82.5844,35.6062,2020-05-05 12:00:00,1.47614482896285,4.17604129835906,19.6183244816742,1,2
"1294",-80.851473,35.281791,2020-05-05 12:00:00,-2.11862154310202,3.75428713307297,18.5832291204532,1,2
"2004",-80.342,36.026,2020-05-05 12:00:00,0.459611999806512,3.40263268914045,11.7891524075733,1,2
"3654",-78.8197,35.8652,2020-05-05 12:00:00,-3.38288011108297,3.5878013079627,24.3161960713796,1,2
"3610",-82.5844,35.6062,2020-05-05 12:00:00,1.40657100236006,2.74170003703371,9.4953610777508,1,1
"1295",-80.851473,35.281791,2020-05-05 12:00:00,-1.75366333989606,2.53257758026594,9.48928430976112,1,1
"2005",-80.342,36.026,2020-05-05 12:00:00,-0.590348821406183,2.31923652659561,5.72736979723093,1,1
"3655",-78.8197,35.8652,2020-05-05 12:00:00,-2.91225334761036,2.45316068797703,14.4992169217037,1,1
"37",-82.5844,35.6062,2020-05-05 13:00:00,-3.85083338260918,3.64739976895301,28.1324428151758,1,1000
"130",-80.851473,35.281791,2020-05-05 13:00:00,-6.15450106483174,3.47138865967019,49.9284225835018,1,1000
"201",-80.342,36.026,2020-05-05 13:00:00,-1.61080277445181,3.47742320112148,14.6871576978796,1,1000
"3661",-78.8197,35.8652,2020-05-05 13:00:00,-3.01324790585948,3.70638776657982,22.8169732184191,1,1000
"371",-82.5844,35.6062,2020-05-05 13:00:00,-4.48286408286888,3.44064075124934,31.9340791646335,1,5
"1301",-80.851473,35.281791,2020-05-05 13:00:00,-5.4434536340098,3.13886508344504,39.4836614776849,1,5
"2011",-80.342,36.026,2020-05-05 13:00:00,-1.14103395570481,3.24571800623007,11.8366438640375,1,5
"3662",-78.8197,35.8652,2020-05-05 13:00:00,-2.57050625976794,3.26122865259968,17.2431147560433,1,5
"372",-82.5844,35.6062,2020-05-05 13:00:00,-4.424217818111,3.48607736162885,31.726438673352,1,4
"1302",-80.851473,35.281791,2020-05-05 13:00:00,-5.45491816450317,3.01449608685635,38.8433188390988,1,4
"2012",-80.342,36.026,2020-05-05 13:00:00,-1.08605602936988,3.16503415728305,11.1969589156991,1,4
"3663",-78.8197,35.8652,2020-05-05 13:00:00,-2.72246505240493,3.27040555362553,18.1073684467509,1,4
"373",-82.5844,35.6062,2020-05-05 13:00:00,-4.21788353419665,3.70028280609908,31.4826343531597,1,3
"1303",-80.851473,35.281791,2020-05-05 13:00:00,-5.71730912738401,3.24539004118385,43.2201801774839,1,3
"2013",-80.342,36.026,2020-05-05 13:00:00,-1.31665264264377,3.3494392369201,12.9523173832007,1,3
"3664",-78.8197,35.8652,2020-05-05 13:00:00,-2.72428825350219,3.63110453200932,20.6066666105486,1,3
"374",-82.5844,35.6062,2020-05-05 13:00:00,-3.23763178696515,2.52405143568583,16.8530952379549,1,2
"1304",-80.851473,35.281791,2020-05-05 13:00:00,-4.89222115929655,2.22953474560619,28.9046530533341,0,2
"2014",-80.342,36.026,2020-05-05 13:00:00,-1.3663297617874,2.3489724565765,7.38452861970104,1,2
"3665",-78.8197,35.8652,2020-05-05 13:00:00,-2.88363724703837,2.39024557493079,14.0286376809832,1,2
"375",-82.5844,35.6062,2020-05-05 13:00:00,-4.83157898873612,2.00261112518741,27.3546068431208,0,1
"1305",-80.851473,35.281791,2020-05-05 13:00:00,-2.9892739649275,1.85027907446148,12.3592914907834,1,1
"2015",-80.342,36.026,2020-05-05 13:00:00,0.0909104707442872,1.9457762780292,3.79431003783212,1,1
"3666",-78.8197,35.8652,2020-05-05 13:00:00,-4.08949328886126,1.97920725782772,20.6412167290792,0,1
"38",-82.5844,35.6062,2020-05-05 14:00:00,-3.47608365409631,3.16983647272694,22.1310208341055,1,1000
"131",-80.851473,35.281791,2020-05-05 14:00:00,-0.315488886022594,3.25357698608161,10.6852964415637,1,1000
"202",-80.342,36.026,2020-05-05 14:00:00,-1.21347145761166,3.1337838589917,11.2931142533151,1,1000
"3671",-78.8197,35.8652,2020-05-05 14:00:00,0.847670410979394,3.21945972088031,11.0834660200207,1,1000
"381",-82.5844,35.6062,2020-05-05 14:00:00,-2.71446073822531,3.75561331872431,21.4729284991461,1,5
"1311",-80.851473,35.281791,2020-05-05 14:00:00,-0.262914226083193,4.01322746177601,16.1751185502301,1,5
"2021",-80.342,36.026,2020-05-05 14:00:00,-1.20903216549578,3.613873412781,14.5218398208088,1,5
"3672",-78.8197,35.8652,2020-05-05 14:00:00,-0.0808211425993299,3.84365665911694,14.7802285702651,1,5
"382",-82.5844,35.6062,2020-05-05 14:00:00,-2.73762986980408,3.89680325859332,22.679692940227,1,4
"1312",-80.851473,35.281791,2020-05-05 14:00:00,-0.186994233038975,3.9214175613462,15.4124825336242,1,4
"2022",-80.342,36.026,2020-05-05 14:00:00,-1.03183837689345,3.58068320306412,13.8859826367356,1,4
"3673",-78.8197,35.8652,2020-05-05 14:00:00,-0.151362681695879,3.68992888862631,13.6384858645292,1,4
"383",-82.5844,35.6062,2020-05-05 14:00:00,-2.52751033863921,3.74933589550625,20.4458281692597,1,3
"1313",-80.851473,35.281791,2020-05-05 14:00:00,0.162219616355214,3.95001691670292,15.6289488461697,1,3
"2023",-80.342,36.026,2020-05-05 14:00:00,-0.946174756583154,3.69061009745258,14.5158495614142,1,3
"3674",-78.8197,35.8652,2020-05-05 14:00:00,-0.555616552106386,3.82384201903561,14.9304775395169,1,3
"384",-82.5844,35.6062,2020-05-05 14:00:00,-1.39341119664249,2.20255566027507,6.79284619953842,1,2
"1314",-80.851473,35.281791,2020-05-05 14:00:00,1.15716821861523,2.46387818963842,7.40973401954907,1,2
"2024",-80.342,36.026,2020-05-05 14:00:00,-0.836104225094999,2.17852372620952,5.44503590087951,1,2
"3675",-78.8197,35.8652,2020-05-05 14:00:00,0.292127377987365,2.27273433663721,5.25065976989953,1,2
"385",-82.5844,35.6062,2020-05-05 14:00:00,-0.676461807759033,1.94831711056281,4.25354014066842,1,1
"1315",-80.851473,35.281791,2020-05-05 14:00:00,4.49692669222497,1.86550177781132,23.7024465582626,0,1
"2025",-80.342,36.026,2020-05-05 14:00:00,-0.30224151247773,1.76734906373667,3.21487264495569,1,1
"3676",-78.8197,35.8652,2020-05-05 14:00:00,0.540023231932247,1.876671883295,3.81352244857657,1,1
"39",-82.5844,35.6062,2020-05-05 15:00:00,-5.56431208980212,1.81817760151549,34.2673388233706,0,1000
"132",-80.851473,35.281791,2020-05-05 15:00:00,0.407523900137717,1.67346313185106,2.96655458284823,1,1000
"203",-80.342,36.026,2020-05-05 15:00:00,-0.0646172115701433,1.73538395790506,3.01573286538533,1,1000
"3681",-78.8197,35.8652,2020-05-05 15:00:00,2.1099853397855,2.03123956880029,8.57797231996974,1,1000
"391",-82.5844,35.6062,2020-05-05 15:00:00,-5.24765269175789,2.37946134681837,33.1996950743166,0,5
"1321",-80.851473,35.281791,2020-05-05 15:00:00,-0.233678030808079,2.08484474626522,4.40118303811201,1,5
"2031",-80.342,36.026,2020-05-05 15:00:00,-0.219025879035304,2.18815144329283,4.83597907447166,1,5
"3682",-78.8197,35.8652,2020-05-05 15:00:00,1.54973208683671,2.46598905519532,8.48277156131438,1,5
"392",-82.5844,35.6062,2020-05-05 15:00:00,-5.33895258912545,2.26206983767034,33.6213746994273,0,4
"1322",-80.851473,35.281791,2020-05-05 15:00:00,-0.217849597505936,2.13776178764071,4.6174839078303,1,4
"2032",-80.342,36.026,2020-05-05 15:00:00,-0.223558725478565,2.24355052912012,5.08349748045275,1,4
